cluster_id	uri	labels	roleTypes	eventTypes
88	https://archief.amsterdam/indexen/deeds/9d6d21e3-966a-666d-e053-b784100a1840?person=fcc22792-2fab-1f02-28f7-cbe9044e2eaa	Abraham Bruijn	https://data.goldenagents.org/thesaurus/Geregistreerde	https://data.goldenagents.org/thesaurus/Boedelinventaris
88	https://archief.amsterdam/indexen/deeds/9d6d21df-c1f7-666d-e053-b784100a1840?person=d2e99f8a-28b7-ccf1-f756-bbe2880243a0	Abraham Bruyn	https://data.goldenagents.org/thesaurus/Geregistreerde	https://data.goldenagents.org/thesaurus/HuwelijkseVoorwaarden
91	https://archief.amsterdam/indexen/deeds/d5c316a6-2c9e-4b81-9ad1-5e364703d198?person=961f6af3-a4e8-53f7-e053-b784100aa83b	Elias van Hoven	https://data.goldenagents.org/thesaurus/Getuige	https://data.goldenagents.org/thesaurus/Doop
91	https://archief.amsterdam/indexen/deeds/9d6d21e0-5a52-666d-e053-b784100a1840?person=2d85b2cc-7ced-39e1-36f0-f19052f32b8c	Elias van Hoven	https://data.goldenagents.org/thesaurus/Geregistreerde	https://data.goldenagents.org/thesaurus/HuwelijkseVoorwaarden
92	https://archief.amsterdam/indexen/deeds/b21a5c6d-e753-6a83-e053-b784100a6e32?person=be3249a7-17e2-84a4-dc69-0209b1ecc03a	Cornelis van Lennep; Cornelis van Lennip; Lennep, Cornelis van	https://data.goldenagents.org/thesaurus/Geregistreerde, https://data.goldenagents.org/thesaurus/Vader	https://data.goldenagents.org/thesaurus/HuwelijkseVoorwaarden, https://data.goldenagents.org/thesaurus/Doop
92	https://archief.amsterdam/indexen/deeds/c1db4185-0080-44e2-b02f-c13c2166a1fa?person=961f6ad1-db3c-53f7-e053-b784100aa83b	Cornelis van Lennep	https://data.goldenagents.org/thesaurus/Getuige	https://data.goldenagents.org/thesaurus/Doop
97	https://archief.amsterdam/indexen/deeds/4af4f104-1d15-46ca-b8b7-ce2d76dc82f1?person=961f6b0f-f1d0-53f7-e053-b784100aa83b	Jan Schröder	https://data.goldenagents.org/thesaurus/Getuige	https://data.goldenagents.org/thesaurus/Doop
97	https://archief.amsterdam/indexen/deeds/fc5a32fb-9497-461a-92a2-c2993573f487?person=961f6b01-b465-53f7-e053-b784100aa83b	Jan Schroder	https://data.goldenagents.org/thesaurus/Getuige	https://data.goldenagents.org/thesaurus/Doop
97	https://archief.amsterdam/indexen/deeds/bde7f918-2f0b-4787-b841-46a48fdab017?person=961f6ae3-08dd-53f7-e053-b784100aa83b	Jan Schroder	https://data.goldenagents.org/thesaurus/Getuige	https://data.goldenagents.org/thesaurus/Doop
97	https://archief.amsterdam/indexen/deeds/4510118f-c357-446e-8662-ce1ffd0e0af1?person=961f6b01-b2d2-53f7-e053-b784100aa83b	Jan Schroder	https://data.goldenagents.org/thesaurus/Getuige	https://data.goldenagents.org/thesaurus/Doop
97	https://archief.amsterdam/indexen/deeds/74aed9bf-7342-4f8e-9015-75a47b00a8ce?person=961f6b10-a299-53f7-e053-b784100aa83b	Jan Schroder	https://data.goldenagents.org/thesaurus/Getuige	https://data.goldenagents.org/thesaurus/Doop
97	https://archief.amsterdam/indexen/deeds/84ad580b-ab42-4807-80cf-4a57c7575a49?person=961f6ad4-e847-53f7-e053-b784100aa83b	Jan Schroder	https://data.goldenagents.org/thesaurus/Getuige	https://data.goldenagents.org/thesaurus/Doop
98	https://archief.amsterdam/indexen/deeds/e7e355d7-f6d9-416a-81f9-ad3025a3835e?person=961f6adb-224e-53f7-e053-b784100aa83b	Anna Berninck	https://data.goldenagents.org/thesaurus/Getuige	https://data.goldenagents.org/thesaurus/Doop
98	https://archief.amsterdam/indexen/deeds/d26e256e-f470-41cb-b623-a3feafc917b7?person=961f6ae2-9bb6-53f7-e053-b784100aa83b	Anna Berninck	https://data.goldenagents.org/thesaurus/Getuige	https://data.goldenagents.org/thesaurus/Doop
98	https://archief.amsterdam/indexen/deeds/39816bec-dc66-4c2c-bf31-be3e8ade7552?person=961f6b0f-6279-53f7-e053-b784100aa83b	Anna Berninck	https://data.goldenagents.org/thesaurus/Getuige	https://data.goldenagents.org/thesaurus/Doop
107	https://archief.amsterdam/indexen/deeds/1fc06bed-f4da-43be-82fd-79ee7f9b7cda?person=961f6af2-d166-53f7-e053-b784100aa83b	Johannes van der Hoogt	https://data.goldenagents.org/thesaurus/Getuige	https://data.goldenagents.org/thesaurus/Doop
107	https://archief.amsterdam/indexen/deeds/093df64b-4984-4be8-a1d4-28f31a1805d3?person=961f6ae2-924e-53f7-e053-b784100aa83b	Johannes van der Hooght	https://data.goldenagents.org/thesaurus/Getuige	https://data.goldenagents.org/thesaurus/Doop
109	https://archief.amsterdam/indexen/deeds/9de585b8-23f2-4959-b9d8-27a349539af5?person=961f6b02-018f-53f7-e053-b784100aa83b	Frans Robide	https://data.goldenagents.org/thesaurus/Getuige	https://data.goldenagents.org/thesaurus/Doop
109	https://archief.amsterdam/indexen/deeds/e3b68000-b165-4a30-95a9-b17d0c3ffdc7?person=961f6b12-266d-53f7-e053-b784100aa83b	Frans Robide	https://data.goldenagents.org/thesaurus/Getuige	https://data.goldenagents.org/thesaurus/Doop
109	https://archief.amsterdam/indexen/deeds/c5ff7f11-33ac-47a9-b261-3fd9ac3ae1c2?person=961f6ae3-9881-53f7-e053-b784100aa83b	Frans Robidé	https://data.goldenagents.org/thesaurus/Getuige	https://data.goldenagents.org/thesaurus/Doop
109	https://archief.amsterdam/indexen/deeds/b09e5a77-5c89-406d-a90e-6cc961db12d1?person=961f6af3-d04a-53f7-e053-b784100aa83b	Frans Robidé	https://data.goldenagents.org/thesaurus/Getuige	https://data.goldenagents.org/thesaurus/Doop
137	https://archief.amsterdam/indexen/deeds/edca9984-9b06-4d07-bd5b-4d977bb86ddf?person=961f6aeb-bb3b-53f7-e053-b784100aa83b	Bernardus van Vijve	https://data.goldenagents.org/thesaurus/Getuige	https://data.goldenagents.org/thesaurus/Doop
137	https://archief.amsterdam/indexen/deeds/f2759ad9-ab69-4764-8ff5-d59d5a2a4f47?person=961f6acd-8e62-53f7-e053-b784100aa83b	Bernardus van Vijve	https://data.goldenagents.org/thesaurus/Getuige	https://data.goldenagents.org/thesaurus/Doop
137	https://archief.amsterdam/indexen/deeds/fc25e28d-aae8-4cd9-a2d9-2ab1334e2529?person=961f6b08-ccc8-53f7-e053-b784100aa83b	Bernardus van Vijve	https://data.goldenagents.org/thesaurus/Getuige	https://data.goldenagents.org/thesaurus/Doop
137	https://archief.amsterdam/indexen/deeds/879f002c-6821-4af9-9b91-029b623bc038?person=961f6b01-c7aa-53f7-e053-b784100aa83b	Barnardus van Vijve	https://data.goldenagents.org/thesaurus/Getuige	https://data.goldenagents.org/thesaurus/Doop
139	https://archief.amsterdam/indexen/deeds/80df8bc6-0037-4737-a575-1d3a80bff617?person=961f6ad4-4606-53f7-e053-b784100aa83b	Jan Hendrik Cramer	https://data.goldenagents.org/thesaurus/Getuige	https://data.goldenagents.org/thesaurus/Doop
139	https://archief.amsterdam/indexen/deeds/d18acba7-0882-4e7a-85d8-0fd26cefa745?person=961f6ae2-b0cd-53f7-e053-b784100aa83b	Jan Hendrik Cramer	https://data.goldenagents.org/thesaurus/Getuige	https://data.goldenagents.org/thesaurus/Doop
